[◁◁◁◁◁◁◁◁](./index.html)

|||Player|SS|
|:-|:-|:-|
|225|Distant years|98.73%|49160|7687|73|1607|1158
|226|Aphorims|98.78%|64704|7687|87|1172|1086
|227|rockrick|99.29%|38941|7684|49|749|998
|228|Tomoya Kun|99.13%|121311|7675|126|754|1256
|229|dani on osu|96.78%|69362|7670|2|271|570
|230|[ Flashoky ]|98.02%|86610|7669|55|503|422
|231|Floatyy|99.29%|50882|7668|58|799|2603
|232|Snoumen|98.79%|30953|7662|14|538|725
|233|DedeH|98.32%|60438|7659|60|721|675
|234|deep senpai|98.68%|64347|7654|97|637|1764
|235|MyAngelYuuzinho|99.33%|181924|7645|58|676|651
|236|Betinho_RGLN|98.09%|65606|7645|51|628|1957
|237|MouseDrift|98.43%|63649|7630|9|434|1458
|238|Deffi|99.05%|64988|7615|39|404|771
|239|Michiru05|98.62%|33572|7613|22|284|689
|240|zXLeOoXz|99.43%|69392|7610|185|1350|1546
|241|7Stalker|98.83%|54535|7609|43|806|1190
|242|TikTak|98.99%|80223|7602|184|829|621
|243|Kamui-|97.00%|69980|7600|17|441|849
|244|Vcell|97.59%|98965|7599|37|703|813
|245|ThizuliScissors|96.69%|46334|7599|78|536|335
|246|NikkaVR|97.66%|47106|7595|10|115|582
|247|Mike Hawk|97.98%|92192|7582|19|313|349
|248|Juanvfx|99.17%|93140|7579|214|2295|2312
|249|daniel3k|98.67%|36387|7568|161|975|1399
|250|Podus|98.30%|141370|7565|182|1434|2515
|251|SillyFangirl|96.22%|37216|7558|30|714|892
|252|Ranpo|99.07%|108966|7536|19|768|1286
|253|hnrkk|97.85%|57137|7532|22|354|446
|254|Miucs|98.83%|93091|7532|183|986|777
|255|Skyme|98.97%|107025|7524|30|1174|1143
|256|Lanzhou|95.24%|53982|7514|12|133|177
|257|Circulo|98.54%|95116|7508|11|317|583
|258|-Slimeh-|95.57%|34282|7506|4|170|174
|259|ShowBR|99.13%|68130|7499|257|244|170
|260|HideZ|98.95%|124809|7495|162|4858|1805
|261|Lufu|98.65%|43014|7492|43|754|448
|262|Kowari|99.30%|98775|7481|335|1155|2676
|263|Akzews|99.42%|84000|7472|68|384|694
